1 5531		 0 0 1 0 0 0 0 0 0 0 
1 1563		 0 1 0 0 0 0 0 0 0 0 
1 7728		 0 0 0 0 0 0 1 0 0 0 
1 9042		 0 0 0 0 0 1 0 0 0 0 
1 6067		 1 0 0 0 0 0 0 0 0 0 
1 7266		 1 0 0 0 0 0 0 0 0 0 
1 6391		 0 0 0 0 0 0 1 0 0 0 
1 1631		 0 0 0 0 0 0 1 0 0 0 
1 6656		 0 0 0 0 0 0 1 0 0 0 
1 592		 0 0 0 0 0 0 0 1 0 0 
1 953		0 0 0 0 0 0 0 0 0 1 
1 5393		0 0 0 0 0 0 0 0 1 0 
1 4659		0 0 0 0 0 0 1 0 0 0 
1 2387		0 0 0 0 0 0 1 0 0 0 
2 3657		 0 0 0 0 0 0 0 1 0 0 
2 465		 0 0 0 1 0 0 0 0 0 0 
2 2300		 0 1 0 0 0 0 0 0 0 0 
2 8069		 0 1 0 0 0 0 0 0 0 0 
2 2171		 0 0 0 0 1 0 0 0 0 0 
2 378		 0 0 0 0 0 1 0 0 0 0 
2 2954		 0 0 0 0 0 0 0 1 0 0 
2 568		 0 0 0 0 0 0 0 1 0 0 
2 5003		 0 0 1 0 0 0 0 0 0 0 
2 -9999		 
3 2983		 0 0 0 0 0 0 1 0 0 0 
3 3769		 0 0 0 0 0 0 1 0 0 0 
3 -9999		 
3 3445		 1 0 0 0 0 0 0 0 0 0 
3 9879		 0 0 0 0 0 1 0 0 0 0 
3 8101		 0 0 0 0 0 0 0 0 1 0 
3 3232		 0 0 0 0 0 0 0 0 0 1 
3 9551		 0 0 1 0 0 0 0 0 0 0 
3 1053		 0 0 0 1 0 0 0 0 0 0 
3 -9999		 
4 5139		 0 0 0 0 1 0 0 0 0 0 
4 3738		 0 0 0 0 0 0 1 0 0 0 
4 8135		 0 0 0 0 0 0 0 0 1 0 
4 -9999		 
4 4413		 0 0 0 1 0 0 0 0 0 0 
4 1786		 1 0 0 0 0 0 0 0 0 0 
4 8978		 0 1 0 0 0 0 0 0 0 0 
4 422		 0 0 1 0 0 0 0 0 0 0 
4 8747		 0 0 0 1 0 0 0 0 0 0 
4 9807		 0 0 0 0 0 0 0 1 0 0 
5 3198		 0 0 0 0 0 0 1 0 0 0 
5 6992		 1 0 0 0 0 0 0 0 0 0 
5 1713		 0 1 0 0 0 0 0 0 0 0 
5 2104		 0 0 1 0 0 0 0 0 0 0 
5 5534		 0 0 1 0 0 0 0 0 0 0 
5 45		 0 0 0 0 1 0 0 0 0 0 
5 2892		 0 0 0 0 0 0 0 1 0 0 
5 8369		 0 0 0 0 0 0 0 0 1 0 
5 3885		 0 0 0 1 0 0 0 0 0 0 
5 9189		 0 0 0 1 0 0 0 0 0 0 
5 2241		0 0 0 0 0 0 1 0 0 0 
5 7868		0 0 0 0 1 0 0 0 0 0 
5 7706		0 0 0 1 0 0 0 0 0 0 
6 8878		 0 0 0 0 0 0 1 0 0 0 
6 6253		 0 1 0 0 0 0 0 0 0 0 
6 2817		 0 0 0 0 0 0 0 1 0 0 
6 8687		 0 0 0 0 1 0 0 0 0 0 
6 9635		 0 0 0 0 0 1 0 0 0 0 
6 5888		 0 0 0 0 0 0 1 0 0 0 
6 3816		 0 0 0 0 0 0 0 0 1 0 
6 6382		 0 0 0 0 0 0 0 0 1 0 
6 5558		 0 0 0 0 0 0 0 0 0 1 
6 -9999		 
7 5474		 0 0 1 0 0 0 0 0 0 0 
7 8645		 0 0 0 1 0 0 0 0 0 0 
7 3153		 1 0 0 0 0 0 0 0 0 0 
7 5440		 0 0 0 0 1 0 0 0 0 0 
7 8238		 0 0 0 0 0 1 0 0 0 0 
7 2885		 0 0 0 0 0 1 0 0 0 0 
7 9082		 0 0 0 0 0 1 0 0 0 0 
7 8700		 0 0 0 0 0 1 0 0 0 0 
7 2467		 1 0 0 0 0 0 0 0 0 0 
7 173		 0 0 0 0 0 1 0 0 0 0 
7 2478		0 0 0 0 0 0 0 0 0 1 
7 8528		0 0 0 0 0 0 0 0 0 1 
7 1173		0 0 0 0 0 0 0 0 1 0 
8 5099		 0 0 0 0 1 0 0 0 0 0 
8 9564		 0 0 1 0 0 0 0 0 0 0 
8 8158		 0 1 0 0 0 0 0 0 0 0 
8 9931		 0 0 0 0 0 0 0 1 0 0 
8 2277		 0 1 0 0 0 0 0 0 0 0 
8 5076		 0 1 0 0 0 0 0 0 0 0 
8 4193		 0 0 0 0 0 0 0 0 1 0 
8 6557		 0 0 0 0 0 1 0 0 0 0 
8 1818		 0 0 0 0 0 0 1 0 0 0 
8 5140		 0 0 0 0 0 0 1 0 0 0 
8 9480		0 0 0 0 0 0 0 0 0 1 
8 9007		0 0 0 0 0 0 0 0 1 0 
9 7573		 0 0 0 1 0 0 0 0 0 0 
9 6932		 0 0 0 0 0 1 0 0 0 0 
9 9720		 0 0 1 0 0 0 0 0 0 0 
9 578		 0 0 0 0 0 0 1 0 0 0 
9 3859		 0 0 0 0 0 0 0 0 0 1 
9 -9999		 
9 7676		 1 0 0 0 0 0 0 0 0 0 
9 7642		 1 0 0 0 0 0 0 0 0 0 
9 3734		 0 0 0 0 0 1 0 0 0 0 
9 6348		 0 0 0 1 0 0 0 0 0 0 
10 2146		 0 0 0 0 0 0 0 0 1 0 
10 4477		 0 0 0 0 0 0 0 0 0 1 
10 6170		 0 0 0 1 0 0 0 0 0 0 
10 4716		 0 0 0 0 0 1 0 0 0 0 
10 3008		 0 0 0 0 1 0 0 0 0 0 
10 7732		 0 0 0 0 0 0 1 0 0 0 
10 7247		 0 0 0 0 0 0 0 1 0 0 
10 -9999		 
10 -9999		 
10 -9999		 
11 8893		 0 0 0 0 1 0 0 0 0 0 
11 5732		 0 0 0 0 0 0 0 0 1 0 
11 2812		 0 1 0 0 0 0 0 0 0 0 
11 -9999		 
11 7314		 0 0 0 0 0 0 1 0 0 0 
11 381		 0 0 0 0 0 0 1 0 0 0 
11 7695		 1 0 0 0 0 0 0 0 0 0 
11 -9999		 
11 -9999		 
11 -9999		 
12 7165		 1 0 0 0 0 0 0 0 0 0 
12 -9999		 
12 2233		 0 0 0 0 0 1 0 0 0 0 
12 9401		 0 0 1 0 0 0 0 0 0 0 
12 5870		 0 0 0 0 0 0 0 0 1 0 
12 8035		 0 0 1 0 0 0 0 0 0 0 
12 1318		 0 0 0 0 1 0 0 0 0 0 
12 -9999		 
12 -9999		 
12 -9999		 
13 9100		 0 0 0 1 0 0 0 0 0 0 
13 8941		 0 0 0 0 0 0 1 0 0 0 
13 -9999		 
13 -9999		 
13 3645		 0 0 1 0 0 0 0 0 0 0 
13 -9999		 
13 -9999		 
13 1509		 1 0 0 0 0 0 0 0 0 0 
13 6689		 0 0 0 1 0 0 0 0 0 0 
13 7717		 0 0 0 1 0 0 0 0 0 0 
14 9263		 0 0 1 0 0 0 0 0 0 0 
14 -9999		 
14 4054		 0 0 0 0 0 0 1 0 0 0 
14 2795		 0 0 0 1 0 0 0 0 0 0 
14 6458		 1 0 0 0 0 0 0 0 0 0 
14 8011		 0 0 0 0 0 1 0 0 0 0 
14 4665		 0 0 0 0 1 0 0 0 0 0 
14 -9999		 
14 -9999		 
14 -9999		 
15 6150		 0 0 0 0 0 0 1 0 0 0 
15 9940		 0 0 0 1 0 0 0 0 0 0 
15 8167		 0 0 1 0 0 0 0 0 0 0 
15 7398		 0 0 0 0 0 0 1 0 0 0 
15 3281		 0 0 1 0 0 0 0 0 0 0 
15 7989		 0 0 0 0 0 0 1 0 0 0 
15 1845		 0 0 0 0 0 0 1 0 0 0 
15 497		 1 0 0 0 0 0 0 0 0 0 
15 7451		 1 0 0 0 0 0 0 0 0 0 
15 6125		 1 0 0 0 0 0 0 0 0 0 
15 7321		0 0 0 0 0 0 1 0 0 0 
15 349		0 0 0 0 1 0 0 0 0 0 
15 8478		0 0 0 0 1 0 0 0 0 0 
16 2285		 0 0 0 1 0 0 0 0 0 0 
16 3235		 0 0 0 0 1 0 0 0 0 0 
16 6552		 0 0 0 0 0 0 0 0 0 1 
16 1280		 0 1 0 0 0 0 0 0 0 0 
16 -9999		 
16 8956		 0 0 1 0 0 0 0 0 0 0 
16 7596		 0 0 1 0 0 0 0 0 0 0 
16 2962		 0 0 0 1 0 0 0 0 0 0 
16 -9999		 
16 -9999		 
17 1024		 0 0 0 0 0 0 0 0 1 0 
17 8817		 0 0 1 0 0 0 0 0 0 0 
17 31		 0 0 0 0 0 0 0 0 0 1 
17 9995		 0 0 0 1 0 0 0 0 0 0 
17 8950		 0 0 0 0 0 0 1 0 0 0 
17 8971		 0 0 0 0 1 0 0 0 0 0 
17 5838		 0 0 0 0 0 0 1 0 0 0 
17 4063		 0 0 0 0 0 0 1 0 0 0 
17 4652		 0 1 0 0 0 0 0 0 0 0 
17 5864		 0 0 0 0 0 0 1 0 0 0 
17 6605		0 0 0 0 0 0 0 0 0 1 
17 4554		0 0 0 0 0 1 0 0 0 0 
18 7572		 0 0 0 0 0 0 0 0 1 0 
18 9334		 0 1 0 0 0 0 0 0 0 0 
18 1798		 0 0 0 1 0 0 0 0 0 0 
18 2684		 0 0 0 0 0 0 1 0 0 0 
18 5763		 0 0 0 0 0 0 1 0 0 0 
18 8302		 0 0 1 0 0 0 0 0 0 0 
18 3230		 0 0 0 0 0 0 0 0 0 1 
18 8177		 0 1 0 0 0 0 0 0 0 0 
18 7996		 0 0 0 0 0 0 0 1 0 0 
18 8957		 0 0 0 0 0 1 0 0 0 0 
18 1035		0 0 0 0 0 0 0 0 0 1 
18 8785		0 0 0 0 0 0 0 0 0 1 
19 4651		 0 0 0 0 0 0 0 0 0 1 
19 1340		 0 0 0 0 1 0 0 0 0 0 
19 600		 1 0 0 0 0 0 0 0 0 0 
19 605		 0 1 0 0 0 0 0 0 0 0 
19 3299		 0 0 1 0 0 0 0 0 0 0 
19 9920		 0 0 0 0 1 0 0 0 0 0 
19 1917		 0 0 0 0 0 0 1 0 0 0 
19 9210		 0 0 0 0 1 0 0 0 0 0 
19 2049		 0 0 0 0 0 0 0 0 1 0 
19 712		 0 0 0 0 0 0 0 1 0 0 
19 7675		0 0 0 0 0 0 0 0 0 1 
19 6384		0 0 0 0 0 0 0 1 0 0 
19 1567		0 0 0 0 0 0 0 1 0 0 
19 6311		0 0 0 0 1 0 0 0 0 0 
19 1177		0 0 0 1 0 0 0 0 0 0 
19 4230		0 0 1 0 0 0 0 0 0 0 
19 971		0 1 0 0 0 0 0 0 0 0 
20 7249		 0 0 0 0 0 0 0 0 0 1 
20 8781		 0 0 0 0 0 1 0 0 0 0 
20 5049		 0 0 0 0 0 0 0 0 1 0 
20 6755		 0 0 0 0 0 1 0 0 0 0 
20 4912		 0 0 0 0 0 0 0 0 1 0 
20 5010		 1 0 0 0 0 0 0 0 0 0 
20 6866		 1 0 0 0 0 0 0 0 0 0 
20 6902		 0 1 0 0 0 0 0 0 0 0 
20 7782		 0 0 1 0 0 0 0 0 0 0 
20 5969		 0 0 1 0 0 0 0 0 0 0 
20 2626		0 0 0 0 0 0 0 0 1 0 
20 9049		0 0 0 0 0 0 0 0 1 0 
20 3266		0 0 0 0 1 0 0 0 0 0 
20 9173		0 0 0 1 0 0 0 0 0 0 
21 5850		 0 0 0 1 0 0 0 0 0 0 
21 1648		 0 0 1 0 0 0 0 0 0 0 
21 2451		 1 0 0 0 0 0 0 0 0 0 
21 2196		 0 0 0 1 0 0 0 0 0 0 
21 8066		 0 0 0 0 0 0 0 0 1 0 
21 2860		 0 0 0 0 1 0 0 0 0 0 
21 1881		 0 0 0 0 1 0 0 0 0 0 
21 7072		 0 0 0 0 0 0 0 0 1 0 
21 -9999		 
21 499		 0 0 1 0 0 0 0 0 0 0 
22 4050		 0 0 0 0 0 0 0 0 0 1 
22 1760		 0 0 0 0 0 0 0 1 0 0 
22 -9999		 
22 -9999		 
22 -9999		 
22 7606		 1 0 0 0 0 0 0 0 0 0 
