1 10		 0 0 1 0 0 
1 69		 0 0 1 0 0 
1 41		 0 0 1 0 0 
1 48		 0 1 0 0 0 
1 99		 1 0 0 0 0 
1 72		 1 0 0 0 0 
1 20		 0 0 0 0 1 
1 39		 0 0 1 0 0 
1 -9999		 
1 -9999		 
2 35		 0 0 0 1 0 
2 95		 1 0 0 0 0 
2 -9999		 
2 -9999		 
2 -9999		 
2 -9999		 
2 -9999		 
2 64		 0 1 0 0 0 
2 12		 0 1 0 0 0 
2 -9999		 
3 17		 0 0 1 0 0 
3 63		 0 0 1 0 0 
3 42		 0 0 0 1 0 
3 38		 0 1 0 0 0 
3 -9999		 
3 -9999		 
3 59		 0 0 0 0 1 
3 37		 0 0 0 0 1 
3 -9999		 
3 -9999		 
4 74		 0 0 0 1 0 
4 78		 0 0 0 1 0 
4 56		 0 0 0 0 1 
4 55		 0 0 0 0 1 
4 11		 0 0 0 0 1 
4 37		 0 0 0 1 0 
4 60		 1 0 0 0 0 
4 29		 1 0 0 0 0 
4 49		 0 1 0 0 0 
4 89		 0 1 0 0 0 
4 43		0 0 0 1 0 
4 6		0 0 1 0 0 
4 52		0 1 0 0 0 
5 73		 1 0 0 0 0 
5 13		 0 0 0 1 0 
5 82		 0 0 0 0 1 
5 99		 0 0 0 0 1 
5 -9999		 
5 65		 1 0 0 0 0 
5 33		 0 1 0 0 0 
5 42		 0 1 0 0 0 
5 16		 0 1 0 0 0 
5 58		 0 0 1 0 0 
6 72		 0 0 0 0 1 
6 75		 0 0 0 0 1 
6 97		 1 0 1 0 0 
6 4		 0 0 1 0 0 
6 57		 0 0 0 1 0 
6 95		 0 0 0 1 0 
6 13		 0 0 0 1 0 
6 21		 0 0 0 0 1 
6 69		 0 1 0 0 0 
6 55		 0 1 0 0 0 
6 35		0 0 0 0 1 
7 83		 0 1 0 0 0 
7 72		 0 0 1 0 0 
7 88		 0 0 0 1 0 
7 84		 0 1 0 0 0 
7 -9999		 
7 28		 0 0 0 1 0 
7 60		 0 0 0 1 0 
7 80		 0 0 0 0 1 
7 -9999		 
7 -9999		 
8 71		 0 0 0 0 1 
8 88		 1 0 0 0 0 
8 63		 0 1 0 0 0 
8 22		 1 0 0 0 0 
8 100		 0 1 0 0 0 
8 48		 0 0 0 1 0 
8 76		 0 0 0 1 0 
8 89		 0 0 0 1 0 
8 30		 1 0 0 0 0 
8 -9999		 
9 75		 0 0 0 0 1 
9 58		 0 0 0 1 0 
9 69		 0 0 0 1 0 
9 39		 0 0 1 0 0 
9 16		 0 0 0 1 0 
9 13		 0 0 0 0 1 
9 84		 1 0 0 0 0 
9 60		 1 0 0 0 0 
9 -9999		 
9 -9999		 
10 37		 1 0 0 0 0 
10 38		 0 0 1 0 0 
10 69		 0 0 1 0 0 
10 63		 0 0 0 1 0 
10 18		 0 0 0 0 1 
10 60		 1 0 0 0 1 
10 77		 0 0 0 0 1 
10 88		 0 0 0 0 1 
10 32		 0 1 0 0 0 
10 61		 0 1 0 0 0 
10 57		0 0 0 1 0 
10 79		0 0 1 0 0 
10 65		0 0 1 0 0 
10 1		0 0 1 0 0 
10 84		0 1 0 0 0 
11 4		 0 0 0 0 1 
11 66		 0 0 0 0 1 
11 34		 1 0 0 0 0 
11 93		 1 0 0 0 0 
11 64		 1 0 0 0 0 
11 35		 1 0 0 0 0 
11 96		 0 1 0 0 0 
11 70		 0 1 0 0 0 
11 84		 0 1 0 0 0 
11 97		 0 0 1 0 0 
12 32		 1 0 0 0 0 
12 -9999		 
12 2		 0 1 0 0 0 
