1 2146		 0 1 0 0 0 0 0 0 0 0 
1 4450		 0 0 0 1 0 0 0 0 0 0 
1 7159		 0 0 0 0 0 0 1 0 0 0 
1 6378		 0 0 0 0 1 0 0 0 0 0 
1 6375		 0 0 0 0 0 0 1 0 0 0 
1 -9999		 
1 -9999		 
1 1150		 0 0 0 0 0 0 0 1 0 0 
1 2726		 0 0 0 0 0 0 0 1 0 0 
1 -9999		 
2 7690		 1 0 0 0 0 0 0 0 0 0 
2 7634		 0 0 1 0 0 0 0 0 0 0 
2 1170		 0 0 0 1 0 0 0 0 0 0 
2 3166		 0 0 0 0 0 0 0 0 0 1 
2 4693		 0 0 0 0 0 1 0 0 0 0 
2 -9999		 
2 -9999		 
2 -9999		 
2 -9999		 
2 -9999		 
3 -9999		 
3 3137		 0 0 0 1 0 0 0 0 0 0 
3 8924		 0 0 0 0 0 0 1 0 0 0 
3 4197		 0 0 0 0 0 0 0 1 0 0 
3 4911		 0 0 0 0 0 0 0 0 1 0 
3 2576		 0 0 0 0 0 0 0 0 1 0 
3 8385		 0 0 0 1 0 0 0 0 0 0 
3 2621		 0 0 0 1 0 0 0 0 0 0 
3 6156		 0 0 0 0 0 0 0 0 0 1 
3 -9999		 
4 2406		 1 0 0 0 0 0 0 0 0 0 
4 880		 0 0 0 0 0 0 0 0 1 0 
4 8668		 0 0 0 0 0 0 0 0 1 0 
4 6347		 0 0 0 0 0 0 0 0 1 0 
4 6627		 0 0 0 0 0 1 0 0 0 0 
4 6421		 0 1 0 0 0 0 0 0 0 0 
4 5736		 0 0 0 0 0 0 1 0 0 0 
4 1615		 0 0 1 0 0 0 0 0 0 0 
4 3276		 0 0 1 0 0 0 0 0 0 0 
4 6732		 0 0 1 0 0 0 0 0 0 0 
5 3440		 0 0 0 1 0 0 0 0 0 0 
5 1978		 0 0 0 0 0 0 1 0 0 0 
5 5949		 0 0 0 0 1 0 0 0 0 0 
5 5554		 0 0 0 0 1 0 0 0 0 0 
5 5767		 0 0 1 0 0 0 0 0 0 0 
5 4762		 0 0 0 0 0 1 0 0 0 0 
5 4704		 0 1 0 0 0 0 0 0 0 0 
5 4130		 0 0 0 0 0 0 0 1 0 0 
5 2476		 1 0 0 0 0 0 0 0 0 0 
5 1267		 0 0 0 0 1 0 0 0 0 0 
5 8397		0 0 0 0 0 0 0 1 0 0 
